scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_326,2026-04-08 13:30:30,48.89026515976512,8.700875913044307,48.89036805930708,8.7004573204396,48.890367627155584,8.700463443209074,3,117.27602767260949,0.45071924824223564,32.273038868942486,wknn_fingerprinting_smoothed_road_snapped,7,10.995650547224717,1,2,4,7.2775899713646215,7.992116370464931,True,high_rmse
scan_327,2026-04-08 13:30:41,48.89028228151842,8.700797651599004,48.8905389785496,8.700541733285739,48.890541308096026,8.700478326750371,5,38.94673936456646,4.6481455246011425,37.11762294834765,wknn_fingerprinting_smoothed_road_snapped,10,35.1330654681387,1,0,9,6.036985781982036,19.364827917949206,True,weak_router_support
scan_328,2026-04-08 13:30:48,48.8903055241188,8.700768426708121,48.89040459579807,8.700329201002734,48.890399559522876,8.700466280129424,6,25.711597780055428,10.048892220172574,24.467449289250844,wknn_fingerprinting_smoothed_road_snapped,21,34.07703221391654,0,5,16,3.357090812053708,15.804066662541732,True,weak_router_support
scan_329,2026-04-08 13:30:55,48.89031191039941,8.700701077151578,48.89046693588372,8.70026402022323,48.89047276292593,8.700131764809552,5,37.1565949505708,9.70187552201007,45.35416079336358,wknn_fingerprinting_smoothed_road_snapped,20,25.625563540850713,0,6,14,4.980529111594522,25.804680449633313,True,weak_router_support
scan_330,2026-04-08 13:31:00,48.89030615942733,8.700637910453231,48.89037296324028,8.699978726213848,48.89036669677437,8.700120954976361,6,32.240228306060345,10.433511194644897,38.43306423977683,wknn_fingerprinting_smoothed_road_snapped,15,29.49669346485572,0,3,12,4.667486429821676,11.833763554575059,True,weak_router_support
scan_331,2026-04-08 13:31:02,48.89030247289836,8.700613842829542,48.8903209016061,8.700023423898035,48.890316828400444,8.700115872593381,6,45.615998903932436,6.781789306450668,36.48305610948002,wknn_fingerprinting_smoothed_road_snapped,16,19.31282746218853,1,4,11,1.808757185673102,5.563797133693652,True,high_rmse;weak_router_support
scan_332,2026-04-08 13:31:07,48.89029258046196,8.700549357813706,48.890293496769,8.700053133244872,48.89029084918436,8.700113224896748,4,77.56222640492916,4.408165454477144,31.922556031375013,wknn_fingerprinting_smoothed_road_snapped,8,22.205162541033765,0,4,4,4.846630925372162,2.8984921120270313,True,high_rmse;weak_router_support
scan_333,2026-04-08 13:31:22,48.89018027481718,8.700555747127572,48.89033951786875,8.700198490954966,48.8903430402582,8.70011854399991,6,21.797581232235274,5.864692857834596,36.77396014049841,wknn_fingerprinting_smoothed_road_snapped,24,30.674559459827506,1,3,20,12.510608062515615,5.8229399680480185,True,weak_router_support
scan_334,2026-04-08 13:31:29,48.89022050600667,8.700414597594438,48.89030652841018,8.699758993491288,48.89017404677222,8.699732646149345,5,74.38567352312518,14.873404455949325,50.18152023200509,wknn_fingerprinting_smoothed_road_snapped,16,51.36339401333488,0,2,14,11.260157750313022,33.93658638791224,True,high_rmse;weak_router_support
scan_336,2026-04-08 13:31:36,48.89023772324016,8.700313484372133,48.89026308268298,8.699715775867524,48.89017696961747,8.699698650105015,4,45.53151068474471,9.667713037295625,45.507110157452395,wknn_fingerprinting_smoothed_road_snapped,18,30.937865201562712,2,4,12,7.644963148042971,2.5094686992223885,True,high_rmse;weak_router_support
scan_337,2026-04-08 13:31:44,48.89023206114601,8.700215258427583,48.89013412640596,8.699057658622085,48.8902304328328,8.699076811559545,4,31.821753742227294,10.812098098195818,83.32689456031562,wknn_fingerprinting_smoothed_road_snapped,19,37.42464748603541,1,2,16,7.217058459965318,45.901913928271135,True,weak_router_support
scan_338,2026-04-08 13:31:46,48.89023162753919,8.700185001190595,48.89024402405814,8.699432716749351,48.89020057640417,8.699424076085942,5,59.38057420618749,4.877766796148853,55.80179138171981,wknn_fingerprinting_smoothed_road_snapped,15,33.41467453484282,0,1,14,2.2151533770267826,25.63382861587162,True,high_rmse;weak_router_support
scan_341,2026-04-08 13:31:51,48.89023400388773,8.700098817989339,48.89048637900173,8.699576691589693,48.89019248037164,8.69951824223481,3,63.84355879804947,32.99531296366961,42.74492693873413,wknn_fingerprinting_smoothed_road_snapped,5,48.28235855137787,0,0,5,6.313578254146867,6.951011804304544,True,high_rmse;weak_router_support
scan_343,2026-04-08 13:31:58,48.89021785939824,8.70002508482213,48.890366142981335,8.699265523505654,48.890216762317564,8.699235815339168,3,7.483314773547883,16.77061855224422,57.7693934325209,wknn_fingerprinting_smoothed_road_snapped,7,35.880959802569,0,0,7,5.688156917558355,20.847750456455447,True,weak_router_support
